Name	       From      Roll      To
Gaurav         0         3         3         
Sagar          0         5         5         
Gaurav         3         6         32        
Sagar          5         6         11        
Gaurav         32        6         38        
Sagar          11        5         16        
Gaurav         38        6         44        
Sagar          16        4         20        
Gaurav         44        5         49        
Sagar          20        5         25        
Gaurav         49        4         53        
Sagar          25        6         31        
Gaurav         53        4         57        
Sagar          31        1         6         
Gaurav         57        3         79        
Sagar          6         6         12        
Gaurav         79        3         82        
Sagar          12        2         14        
Gaurav         82        5         16        
Sagar          14        2         16        
Gaurav         16        2         18        
Sagar          16        3         19        
Gaurav         18        6         24        
Sagar          19        1         20        
Gaurav         24        6         30        
Sagar          20        1         21        
Gaurav         30        5         35        
Sagar          21        2         23        
Gaurav         35        6         41        
Sagar          23        4         27        
Gaurav         41        4         45        
Sagar          27        1         28        
Gaurav         45        6         51        
Sagar          28        5         33        
Gaurav         51        4         53        
Sagar          33        4         37        
Gaurav         53        6         59        
Sagar          37        1         38        
Gaurav         59        6         65        
Sagar          38        6         44        
Gaurav         65        6         71        
Sagar          44        2         46        
Gaurav         71        6         77        
Sagar          46        5         51        
Gaurav         77        1         78        
Sagar          51        2         53        
Gaurav         78        3         81        
Sagar          53        5         58        
Gaurav         81        4         85        
Sagar          58        2         79        
Gaurav         85        3         88        
Sagar          79        4         83        
Gaurav         88        2         90        
Sagar          83        2         85        
Gaurav         90        5         95        
Sagar          85        3         88        
Gaurav         95        2         64        
Sagar          88        5         93        
Gaurav         64        5         69        
Sagar          93        2         95        
Gaurav         69        2         71        
Sagar          95        1         96        
Gaurav         71        2         73        
Sagar          96        3         99        
Gaurav         73        3         76        
Sagar          99        2         99        
Gaurav         76        2         78        
Sagar          99        1         100
Sagar wins the game
======================================
Name	       From      Roll      To
Gaurav         0         1         37        
Sagar          0         4         4         
Gaurav         37        6         43        
Sagar          4         5         32        
Gaurav         43        1         44        
Sagar          32        3         35        
Gaurav         44        1         45        
Sagar          35        6         41        
Gaurav         45        5         68        
Sagar          41        1         42        
Gaurav         68        1         69        
Sagar          42        5         47        
Gaurav         69        6         75        
Sagar          47        1         9         
Gaurav         75        5         100       
Sagar          9         5         14        
Gaurav         100       1         100
Gaurav wins the game
======================================
Name	       From      Roll      To
Gaurav         0         2         2         
Sagar          0         4         4         
Gaurav         2         3         5         
Sagar          4         2         6         
Gaurav         5         3         8         
Sagar          6         4         10        
Gaurav         8         3         11        
Sagar          10        6         16        
Gaurav         11        6         17        
Sagar          16        6         22        
Gaurav         17        6         23        
Sagar          22        6         28        
Gaurav         23        6         29        
Sagar          28        6         34        
Gaurav         29        6         35        
Sagar          34        6         20        
Gaurav         35        6         41        
Sagar          20        6         46        
Gaurav         41        6         47        
Sagar          46        6         52        
Gaurav         47        6         53        
Sagar          52        6         58        
Gaurav         53        6         59        
Sagar          58        6         84        
Gaurav         59        6         65        
Sagar          84        6         90        
Gaurav         65        6         71        
Sagar          90        6         96        
Gaurav         71        6         77        
Sagar          96        6         96        
Gaurav         77        6         83        
Sagar          96        6         96        
Gaurav         83        4         16        
Sagar          96        4         100
Sagar wins the game
======================================
Name	       From      Roll      To
Gaurav         0         1         37        
Sagar          0         2         2         
Gaurav         37        4         41        
